organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,"tx_curr (n, dsd)","tx_curr (n, dsd, age_gt10sex)","tx_curr (n, dsd, age_lt10)","tx_new (n, dsd)","pmtct_stat (d, dsd, age) v2","pmtct_stat (n, dsd)","pmtct_stat (n, dsd, age)","pmtct_stat (n, dsd, ageknownnewresult)","pmtct_art (n, dsd, newexistingart)","pmtct_arv (n, dsd narrative)","pmtct_eid (n, dsd, agehivstatus)",HTC
U4PYh3OVqQf,Crystal Specialist Hospital,p.ng.APIN.5231,,,,,,213,213,213,213,1,,0,446
Mopy9urk8W8,Divine Grace Medical Center,p.ng.APIN.5348,,,,,,22,22,22,22,0,,0,39
HAFfPJ6ZnN7,Dolu Hospital,p.ng.APIN.5349,,,,,,27,27,27,27,0,,0,234
b8C3q6aXIHX,Duro Soleye Hospital,p.ng.APIN.5291,,,,,,20,20,20,20,0,,0,141
IkRDBIujlYH,Edmac Hospital,p.ng.APIN.5353,,,,,,47,47,47,47,1,,0,52
hQ808SWIPV2,Egan Primary Health Center,p.ng.APIN.5213,,,,,,2,2,2,2,0,,0,260
eVVbJorZ4gi,EHJ Catholic Hospital,,,,,,,,,,,,,,0
qPbEWrcw3ce,El-Rhema Vision Hospital - Gowon Estate,,,,,,0,11,11,11,11,1,,0,113
snJpXItWn78,Epe Primary Health Center,p.ng.APIN.5252,,,,,,122,122,122,122,2,,0,245
mTGLo1Qim95,Eredo Primary Health Center,p.ng.APIN.5254,,,,,,69,69,69,69,0,,0,278
TNjO0V8WSOM,Ewetuntun Primary Health Center,p.ng.APIN.5341,,,,,,0,0,0,0,0,,0,44
K4fl4VyS1Qp,Falomo Police Hospital,p.ng.APIN.5266,,435,427,8,33,43,43,43,43,6,,4,2181
DaQnVxhTwge,Festac Primary Health Center,p.ng.APIN.5240,,,,,,90,90,90,90,4,,0,151
D8fXWtqwMAU,Gowon Estate Hospital - Ipaja,,,88,82,6,23,76,76,76,76,2,,4,1210
ya5aVehGJhU,Hamkad Hospital,p.ng.APIN.5221,,,,,,146,146,146,146,0,,0,244
i090T1hI6X0,Haruna Ogun Memorial Hospital,p.ng.APIN.5316,,,,,,5,5,5,5,0,,0,147
bAeQxzIqls2,Helen Aderonke (Egbe Idimu) Primary Health Center,p.ng.APIN.5234,,,,,,4,4,4,4,0,,0,387
BZoXtTzACja,Hill Star Hospital,p.ng.APIN.5358,,,,,,22,22,22,22,0,,0,73
kYFJ6ppx9vV,Holy Rosary Catholic Hospital - Ogba,,,,,,,34,34,34,34,0,,0,358
KmKzDT9YmmR,Ibeju-Lekki General Hospital,p.ng.APIN.5270,,547,539,8,48,214,214,214,214,3,,19,1577
OWOckBlm9Du,Ifako Ijaiye General Hospital,p.ng.APIN.5280,,1131,1082,49,119,296,296,296,296,12,,38,8179
W7hscr3wKtm,Ifako Primary Health Center,p.ng.APIN.5276,,283,261,22,36,104,104,104,104,4,,7,1624
rH7xalmwpYB,Igbogbo Primary Health Center,p.ng.APIN.5298,,,,,,311,311,311,311,0,,0,525
NK1aIh1gWE4,Igbologun Primary Health Center,,,,,,,17,17,17,17,1,,0,36
qrRePxE2vHI,Ijede Health Center,p.ng.APIN.5311,,,,,,313,313,313,313,1,,0,2808
z70ck0KZc4d,Ijede Primary Health Center,p.ng.APIN.5305,,,,,,4,4,4,4,0,,0,222
W8ZrdhS5bgo,Ikate Primary Health Center,p.ng.APIN.5257,,,,,,56,56,56,56,0,,0,164
Y5kAcxYCJtJ,Ikola Primary Health Center,,,,,,,8,8,8,8,0,,0,129
PDDXfKVCTWm,Ikota Primary Health Center,p.ng.APIN.5259,,,,,,16,16,16,16,0,,0,72
R3X9MttmeAb,Ikotun Primary Health Center,p.ng.APIN.5214,,,,,,146,146,146,146,1,,0,6152
AyhmKzryWuV,Ikoyi Primary Health Center,p.ng.APIN.5258,,,,,,33,33,33,33,0,,0,79
GOVwdQYj2ix,Ilasa Primary Health Center,p.ng.APIN.5339,,,,,,91,91,91,91,0,,0,133
iJX8pwklfN3,Ipaja Primary Health Center,p.ng.APIN.5215,,112,106,6,44,348,346,346,346,5,,12,10611
NGcOdU567cM,Ishefun Primary Health Center,p.ng.APIN.5210,,,,,,5,5,5,5,0,,0,77
jgHQAN6DXzD,Isheri Oshun Primary Health Center,,,,,,,10,10,10,10,0,,0,280
iW0gyLDnttQ,Isheri Primary Health Center,p.ng.APIN.5216,,,,,,110,110,110,110,0,,0,3493
qroS3gZWvU2,Isokan Primary Health Center,,,,,,,0,0,0,0,0,,0,731
S8op2ZXvedF,Isolo Road Primary Health Center,,,,,,,9,9,9,9,0,,0,131
U4YdfwmVnPI,Ita Elewe Primary Health Center,p.ng.APIN.5314,,,,,,154,154,154,154,0,,0,556
I2cEhPn5UJh,Itire Ijesa Primary Health Center,p.ng.APIN.5329,,,,,,4,4,4,4,0,,0,897
WjxdEnwBGHp,Ituah Medical Center,p.ng.APIN.5244,,,,,,,,,,,,,0
cslZ1cjjBW9,Iyana Ejigbo Primary Health Center,p.ng.APIN.5343,,,,,,74,74,74,74,0,,0,181
WtYabpNhD59,Jacon Davids Hospital,p.ng.pepfar.5426,,,,,,,,,,,,,0
FR5nDgcO1g7,Jakande Primary Health Center,p.ng.APIN.5336,,,,,,,,,,,,,506
AaN3R7sqGYf,Jefis Specialist Hospital,p.ng.APIN.5282,,,,,,28,28,28,28,0,,0,195
nj9kyJNpeS0,Jericho Hospital,p.ng.APIN.5352,,,,,,3,3,3,3,0,,0,67
ZRVdue62z28,Jericho Hospital Oshodi,,,,,,,,,,,,,,0
Sy22uALbMNV,Jibsol Hospital,,,,,,,,,,,,,,0
kfoH2nPwGqs,Jim Sam Hospital and Maternity,p.ng.pepfar.5397,,,,,,,,,,,,,0
jghRFaXDUuh,Jim sam Hospital Apapa,,,,,,,,,,,,,,0
Ekg0Fu2F1Y8,Jon Ken Hospital,p.ng.pepfar.5517,,,,,,,,,,,,,0
Q17Ty0GqXhn,Kajola Primary Health Center,p.ng.APIN.5321,,,,,,36,36,36,36,0,,2,1366
MrI8JE8ATPk,Karale HIV Prevention Association (Eti-Osa),,,,,,,,,,,,,,0
xTjhs7BRs6n,Karale HIV Prevention Association (Ibeju/Lekki),,,,,,,,,,,,,,0
siBXEzVuvZa,Kemberi Primary Health Centre,p.ng.pepfar.5515,,,,,,,,,,,,,0
dfugcAn5YgA,Kena Hospital 1&2 Ojo,,,,,,,,,,,,,,0
nOLapyIDpiL,Kiladejo Hospital And Specialist Hospital,,,,,,,,,,,,,,0
PjyAVcdZtOL,Kosofe KP One Stop Shop,,,,,,,,,,,,,,0
gR7wJrhmOSB,lAccess Hospital,p.ng.pepfar.5500,,,,,,,,,,,,,0
etjcQEkKnGl,ladi lak Medical Center,,,,,,,,,,,,,,0
QHUlQhM8xbC,Ladilak Medical Centre,p.ng.pepfar.5469,,,,,,,,,,,,,0
Vv0X6tiXsil,Lagoon Hospital,,,,,,,,,,,,,,0
zyxDXEYBxqA,Lagos General Hospital,p.ng.pepfar.5435,,,,,,,,,,,,,0
ixltW74M2ch,Lagos Island Maternity Hospital,p.ng.pepfar.5436,,,,,,,,,,,,,0
blh4REHlv0u,Lagos Island One Stop Shop,,,,,,,,,,,,,,0
l3ZXYWlELCN,Lagos Mainland KP One Stop Shop,,,,,,,,,,,,,,0
kzjkCk8UnGR,Lagos State Mainland Hospital,p.ng.pepfar.5509,,,,,,,,,,,,,0
y5TzOvctmba,Lagos State University Teaching Hospital,p.ng.APIN.5294,,4986,4802,184,183,452,452,452,452,14,,,6296
WlXQVJSBvrn,Lagos University Teaching Hospital (LUTH),p.ng.APIN.5328,,7208,7010,198,137,377,377,377,377,18,,65,5846
FEN33cPyJAf,lakefront hospital,,,,,,,,,,,,,,0
rB2YmkEyVMe,Lakowe Primary Health Center,p.ng.APIN.5272,,,,,,31,31,31,31,0,,0,404
uQTtMdQ7v9D,Lasu Health Center Ojo,,,,,,,,,,,,,,0
TN4vfjduPI6,Lasunwon Primary Health Center,p.ng.APIN.5306,,,,,,,,,,,,,0
K7lUFNe9aXC,Layeni Primary Health Centre,p.ng.pepfar.5386,,,,,,,,,,,,,0
cdeO4QOMIMu,Leye Clinic,,,,,,,,,,,,,,0
cd2Ak7seWZd,Life Foundation Hospital,,,,,,,,,,,,,,0
MI84g7M2lUs,Life Link Organization (Alimosho),,,,,,,,,,,,,,0
pwpT2ZHDBX9,Life Link Organization (Ifako-Ijaiye),,,,,,,,,,,,,,0
FJ85FZLQhYv,Life Link Organization (Ikeja),,,,,,,,,,,,,,0
jkohclo02rj,Light Hospital,p.ng.APIN.5222,,,,,,142,142,142,142,0,,0,378
HNmIDaKNzbg,Light hospital and maternity home,,,,,,,,,,,,,,0
DpZOtdkfW60,lKetu Primary Health Centre,p.ng.pepfar.5427,,,,,,,,,,,,,0
BxhCdBKcWTf,lMogogbo Primary Health Centre,p.ng.pepfar.5368,,,,,,,,,,,,,0
c217ljCSINX,Lobel Hospital and Maternity,,,,,,,,,,,,,,0
OVcuATHHlkG,LOBEL HOSPITAL AND MATERNITY,,,,,,,,,,,,,,0
VIgbUF6H4ma,Longe Medical Center,p.ng.APIN.5281,,,,,,106,106,106,106,,,3,275
r0nMODWpO19,Longing Medical Center,p.ng.APIN.5275,,,,,,106,106,106,106,1,,0,142
jmsbhbzvFjI,Losi oba Primary Health Center,p.ng.APIN.5315,,,,,,63,63,63,63,3,,0,174
Tq78KsqAJiz,Lota Hospital,,,,,,,,,,,,,,0
bubHwH5SLWU,Lucina Hope Foundation (Mushin),,,,,,,,,,,,,,0
DFAytwMmiVv,Lucina Hope Foundation (Oshodi-Isolo),,,,,,,,,,,,,,0
edQnbBVcWB9,Madek Hospital,p.ng.APIN.5205,,,,,,,,,,,,,0
rgkeZzIQZLh,Mafoloku Primary Health Center,p.ng.APIN.5345,,,,,,,,,,,,,0
ltXQ4CmzvH1,Maidan Primary Health Centre,p.ng.pepfar.5428,,,,,,,,,,,,,0
sDVp4dEhyI3,Mainland Anglican Hospital,p.ng.pepfar.5510,,,,,,,,,,,,,0
oBgHvz5MrFC,Majidun Primary Health Center,p.ng.APIN.5307,,,,,,,,,,,,,0
HuakoO6G9Es,Mandela Hospital,p.ng.APIN.5354,,,,,,,,,,,,,0
wCuy1H8rBOV,Marina Primary Health Centre,p.ng.pepfar.5410,,,,,,,,,,,,,0
tscvxzvaPHe,Mary the Queen Hospital - Akowonjo,,,116,114,2,32,133,133,133,133,1,,2,2829
Zuz01IzErgM,Massey Street Children's Hospital,p.ng.pepfar.5437,,,,,,,,,,,,,0
A49JqblSZhJ,Maternal and Child Health Center - Amuwo Odofin,,,,,,,,,,,,,,0
vZZ0OU8Skl0,MAYFAIR Medical Centre,,,,,,,,,,,,,,0
hUrdiiM1u9l,Med-In-Specialist Hospital,p.ng.pepfar.5429,,,,,,,,,,,,,0
owB333UT2qz,Meiran Primary Health Center,p.ng.APIN.5235,,,,,,132,,,,0,,0,5411
qDP0bE7Irx3,Mende Primary Health Centre,p.ng.pepfar.5430,,,,,,,,,,,,,0
RP93BHPyRE8,Mile 2 Primary Health Center,p.ng.APIN.5242,,,,,,,,,,,,,0
KvvMPq5EeTj,Military Cantonment Ojo,,,,,,,,,,,,,,0
vs7nP7vhVVJ,Military Hospital Lagos,p.ng.pepfar.5518,,,,,,,,,,,,,0
A4hw6FQpJfX,Mobonike Hospital,p.ng.pepfar.5374,,,,,,,,,,,,,0
zJkQ2sk6W5i,Mofe Ayo Maternity,,,,,,,,,,,,,,0
FkgyIMo6XEz,Mojol Hospital,,,,,,,,,,,,,,0
dsYsl8bXYX0,Mother Theresa Medical Center - Idimu,,,68,65,3,10,27,27,27,27,1,,0,1020
d5QRTqq09nJ,Mount Sinai Hospital (Lagoa Mainland),p.ng.pepfar.5448,,,,,,,,,,,,,
X0dzsuGz8oJ,Mowo Primary Health Centre,p.ng.pepfar.5411,,,,,,,,,,,,,0
iRKt8VkFcoq,Mucas Hospital,,,,,,,,,,,,,,0
bjExvCDZVsB,Mushin General Hospital,p.ng.APIN.5330,,539,525,14,33,165,165,165,165,6,,8,4985
LsIJ44uFG07,MUSKAT Hospital,,,,,,,,,,,,,,0
R58tdWdgN81,Muskat hospital /Laboratories,,,,,,,,,,,,,,0
NczR0Uby5N7,Natafod Consultants Hospital,p.ng.pepfar.5387,,,,,,,,,,,,,0
oVSPmVYYmVF,New Alpha Medical Centre,,,,,,,,,,,,,,0
gMDSOqhaRHx,Nigeria Youth Aid Programme,,,,,,,,,,,,,,0
LG88x22NK8R,Nigerian Army School of Medical Sciences (NASMS) Ojo,p.ng.pepfar.5520,,,,,,,,,,,,,0
YYKhk7qR2W3,Nigerian Institute of Medical Research (NIMR),p.ng.APIN.5320,,,,,,,,,,,,,0
rZ9cKyNyQft,Nigerian Navy Reference Hospital Ojo,p.ng.pepfar.5488,,,,,,,,,,,,,0
HdYs1tcok3R,Oak Hospital,p.ng.APIN.5310,,,,,,,,,,,,,0
UiISOtUQL0r,Oba Adeyinka Oyekan (Adenihi Adele) Primary Health Centre,p.ng.pepfar.5366,,,,,,,,,,,,,0
jEw8VVNHRtG,Oba Salami Primary Health Centre,p.ng.pepfar.5449,,,,,,,,,,,,,0
eLEoDNrlVO7,Obalende Primary Health Center,p.ng.APIN.5260,,,,,,10,10,10,10,0,,0,58
JJLlHAIHW8T,Obawole Primary Health Center,p.ng.APIN.5284,,,,,,10,10,10,10,0,,0,55
UZsYq2JlfR8,Obisessan Naval Medical Center Lagos,p.ng.pepfar.5521,,,,,,,,,,,,,0
XavFeY2HPuO,Odo-Nla Primary Health Center,p.ng.APIN.5313,,,,,,,,,,,,,0
nzKmHXFrW9C,Odomola Primary Health Center,p.ng.APIN.5256,,,,,,27,27,27,27,0,,0,80
Y5ReWuj8W1M,Odunbaku Primary Health Centre,p.ng.pepfar.5493,,,,,,,,,,,,,0
YndtWxnmTXP,Odunbankun Primary Health Center,p.ng.APIN.5236,,,,,,,,,,,,,0
BmfDTA3dEh1,Ogbomoshotedo Primary Health Center,,,,,,,2,2,2,2,0,,0,197
LAaXU60rnbW,Ogudu Primary Health Centre,p.ng.pepfar.5431,,,,,,,,,,,,,0
V7TMHLKzkBM,Ogundimu Primary Health Center,,,,,,,2,2,2,2,0,,0,146
hJnEYRxvSz2,Ojo KP One Stop Shop,,,,,,,,,,,,,,0
YE1lCEtYmen,Ojo Primary Health Centre,p.ng.pepfar.5463,,,,,,,,,,,,,0
zkYOojlUFww,Ojodu Primary Health Care,p.ng.APIN.5288,,320,303,17,36,111,105,105,105,4,,25,1207
WUAXNFlS8S0,Ojokoro Primary Health Center,p.ng.APIN.5277,,,,,,12,12,12,12,0,,0,1034
YXnlGXCmD3h,Oke Eletu Primary Health Center,p.ng.APIN.5308,,,,,,,,,,,,,0
XSeH6VOw1fh,Oke Ira Powerline Primary Health Center,,,,,,,21,18,18,18,1,,0,119
JxUscCJtDLV,Oke odo Primary Health Center,p.ng.APIN.5219,,,,,,0,0,0,0,0,,,0
u2gno9ABCWb,Oke-Ira Primary Health Center,p.ng.APIN.5286,,,,,,6,6,6,6,0,,0,149
CJimJqWhcMm,Okerube Primary Health Center,p.ng.APIN.5220,,,,,,0,0,0,0,0,,0,227
RAvl5HsvuzW,Oki Primary Health Center,,,,,,,0,0,0,0,0,,,177
juv5u1BDcBN,Okoko Primary Health Centre,p.ng.pepfar.5464,,,,,,,,,,,,,0
fmyeOYjZpui,Okokumo Primary Health Center,p.ng.APIN.5237,,,,,,,,,,,,,193
zE2drV5oTj6,Okun Mapo Primary Health Center,p.ng.APIN.5262,,,,,,4,4,4,4,0,,0,5
kemOovArAIT,Olive Medicare Hospital,p.ng.pepfar.5494,,,,,,,,,,,,,0
wh1fufa69db,Olojowon Primary Health Centre,p.ng.pepfar.5398,,,,,,,,,,,,,0
J6ZAOJRzjmi,Olorunda Primary Health Center,p.ng.APIN.5304,,,,,,7,7,7,7,0,,0,104
M205lvV2EMK,Olota Primary Health Center,,,,,,,0,0,0,0,0,,0,0
TZRyV1XUdzP,Olowogbowo Primary Health Centre,p.ng.pepfar.5438,,,,,,,,,,,,,0
RnXXh2sgzX5,Olusosun Primary Health Center,,,,,,,0,0,0,0,0,,0,491
dsIqOTu5Fgn,Oluwole Primary Health Centre,p.ng.pepfar.5399,,,,,,,,,,,,,0
oUPKdJ0v26r,Omni Medical Centre,p.ng.pepfar.5439,,,,,,,,,,,,,0
aZsWRWAlg8p,Omolewa  Medical Center,,,,,,,,,,,,,,0
LjWNDJvQ42H,Ona Iwamimo Primary Health Center,p.ng.APIN.5344,,,,,,,,,,,,,0
rbNoobbUgpn,Onikan Health Centre,p.ng.pepfar.5440,,,,,,,,,,,,,0
Ot3avYZ7tV1,Onilekere Primary Health Center,,,,,,,55,55,55,55,0,,0,211
sjyWVZMA3W5,Opebi Primary Health Center,,,,,,,0,0,0,0,0,,0,60
XnGTqgXdi94,Oridilu Primary Health Centre,p.ng.pepfar.5496,,,,,,,,,,,,,0
XxYNIkLVpEa,Orile Agege General Hospital,p.ng.pepfar.5375,,,,,,,,,,,,,0
tdHJlJ24DRu,Orile Primary Health Centre,p.ng.pepfar.5484,,,,,,,,,,,,,0
i2hdvExuY3s,Orisunbare Primary Health Center,p.ng.APIN.5218,,,,,,52,52,52,52,3,,0,524
kF7zcKqeIwG,Oshodi Primary Health Center,p.ng.APIN.5340,,,,,,111,111,111,111,0,,0,142
yXLEU9kf4Xy,Osuntuyi Medical Centre,p.ng.pepfar.5470,,,,,,,,,,,,,0
IeFrO2PwBzR,Otto Primary Health Centre,p.ng.pepfar.5450,,,,,,,,,,,,,0
xu4mnSBhh65,Otunla Primary Health Center,p.ng.APIN.5273,,,,,,15,15,15,15,0,,0,17
HFxxtnEdJWu,Oworo Primary Health Centre,p.ng.pepfar.5432,,,,,,,,,,,,,0
c0tzjQoLMIL,Owu Primary Health Center,,,,,,,,,,,,,,0
jYwlPVWe1Of,Oyem's Hospital,p.ng.pepfar.5465,,,,,,,,,,,,,0
LZC72BhBZBd,Palm Avenue Primary Health Center,p.ng.APIN.5326,,149,148,1,77,102,102,102,102,2,,2,3512
AikyeJ7lFgE,Papa Ashafa Primary Health Center,p.ng.APIN.5203,,,,,,,,,,,,,0
lj6iBqwNZWh,Papa Uku Primary Health Center,p.ng.APIN.5204,,,,,,,,,,,,,0
nYcntjjaiPZ,Papa Uku Primary Health Centre,p.ng.pepfar.5369,,,,,,,,,,,,,0
F056lWIkFoq,Peculiar Hospital,,,,,,,,,,,,,,0
iOFn5wBNqq0,People Against HIV/AIDS in the Barracks (Alimosho),,,,,,,,,,,,,,0
LnAc7vxP28Q,People Against HIV/AIDS in the Barracks (Amuwo-Odofin),,,,,,,,,,,,,,0
dm6e6KBsQ2N,Perseverance Foundation,,,,,,,,,,,,,,0
vBY9Zlv9MCY,Pinecrest Hospital,p.ng.APIN.5350,,,,,,19,19,19,19,0,,0,112
Ztldw4BHP8H,Plato Hospital and Maternity,p.ng.APIN.5356,,,,,,,,,,,,,0
PqOyi5yNXV2,Police Clinic,,,,,,,,,,,,,,0
QcmJprr3MpH,Police hospital Falomo,,,,,,,,,,,,,,0
xFUDOz8NkkJ,Polybonde Medical Services,,,,,,,,,,,,,,0
Q10hueJWdFP,Pota Primary Health Centre,p.ng.pepfar.5412,,,,,,,,,,,,,0
NhvF5diSS13,Powerline Primary Health Centre,p.ng.pepfar.5376,,,,,,,,,,,,,0
wzSzRiZrZTF,Promise Medical Centre,p.ng.pepfar.5377,,,,,,,,,,,,,0
jqzAWd7hBmC,R Jolad Hospital,p.ng.pepfar.5471,,,,,,,,,,,,,0
J3Rct6AHcSm,Randle General Hospital,p.ng.pepfar.5486,,,,,,,,,,,,,0
FMV3Cu3WZmN,RCCG/Redeemed Aid Programme Action Committee CSO (Lagos),p.ng.pepfar.5511,,,,,,,,,,,,,0
vDdj9otGq3O,Redeemed Medial Centre,p.ng.pepfar.5466,,,,,,,,,,,,,0
CPztYnaQ83c,Regina Mundi Hospital,p.ng.APIN.5327,,,,,,185,185,185,185,,,0,1408
i64phEv67WC,Sabokaji Primary Health Center,p.ng.APIN.5239,,,,,,11,11,11,11,0,,0,11
HdmKVDY4tLC,Sacred Heart Catholic Clinic (Badagry),p.ng.pepfar.5413,,,,,,,,,,,,,0
gXNwPNpiX7D,Sacred Heart Clinic,p.ng.pepfar.5498,,,,,,,,,,,,,0
Kh4bknxe5Ol,Sakpo Primary Health Centre,p.ng.pepfar.5414,,,,,,,,,,,,,0
PEpg04JumzO,Salus Infirmorum Catholic Hospital,p.ng.pepfar.5485,,,,,,,,,,,,,0
UQn79zvHOsw,Salvation Army Clinic,p.ng.pepfar.5416,,,,,,,,,,,,,0
GzJvhSVmaHi,Sango Primary Health Center,p.ng.APIN.5200,,,,,,,,,,,,,0
EnyrCHOxsJ3,Sango Primary Health Centre,p.ng.pepfar.5378,,,,,,,,,,,,,0
PROyclKUpiF,Sari Primary Health Centre,p.ng.pepfar.5400,,,,,,,,,,,,,0
ad4Mire6vFt,Saseun Hospital and Maternity,p.ng.pepfar.5388,,,,,,,,,,,,,0
lUS1f60wUKB,Satellite Primary Health Center,p.ng.APIN.5246,,,,,,17,17,17,17,0,,0,36
aGuDfDDP3kA,Seme Primary Health Centre,p.ng.pepfar.5415,,,,,,,,,,,,,0
YLQbsdHKHu4,Sentinel Hospital,p.ng.APIN.5333,,,,,,101,101,101,101,0,,0,182
CKrtHGFxtAI,Shalom Oluwole clinic,,,,,,,,,,,,,,0
oPBiwEqwv0h,Shammah Specialist Hospital,p.ng.pepfar.5389,,,,,,,,,,,,,0
V7PmrC0YBgq,Shibiri Primary Health Centre,p.ng.pepfar.5467,,,,,,,,,,,,,0
nHwsA3S5ndg,Shogunle Primary Health Center,p.ng.APIN.5334,,,,,,,,,,,,,0
wBcZcyNRqNR,Shomolu KP One Stop Shop,,,,,,,,,,,,,,0
PeH3XKs9FBu,Simpson Primary Health Centre,p.ng.pepfar.5451,,,,,,,,,,,,,0
hHeSWEo00Vv,"Society for Family Health One Stop Shop, Surulere",,,,,,,,,,,,,,0
UH6ofzg7dQz,Society for Women and AIDS in Africa Nigeria,,,,,,,,,,,,,,0
cyVa75Rzf5t,St Luke's Hospital,p.ng.pepfar.5370,,,,,,,,,,,,,0
PctcOmp3BMY,St Theresa Hospital,p.ng.pepfar.5390,,,,,,,,,,,,,0
XEWYF4aTzeU,St. Anthony Cardinal Modern Primary Health Centre,,,,,,,,,,,,,,0
zkH7oCDNNMW,St. Anthony of Padua Medical Center,,,,,,,,,,,,,,0
gFlvov8GYAp,St. Catherine of Siena Medical Centre - Mafoluku,p.ng.CCFN.5355,,,,,,,,,,,,,0
b8uV4cduUX7,ST. DANIEL'S Hospital,,,,,,,,,,,,,,0
wsaK58gH5tH,St. Joseph Mission Clinic Kirikiri,p.ng.APIN.5249,,,,,,53,53,53,53,2,,0,312
lwmRYQg2xSI,St. Kizito Clinic,p.ng.APIN.5261,,,,,,,,,,,,,0
tUlSAAMKwLs,St. Kizito Clinic - Ajah Lekki,p.ng.APIN.5271,,,,,,,,,,,,,0
ptxAOdQ5Tp8,St. Leo Medical Centre,,,102,101,1,20,94,94,94,94,0,,1,2091
LlouXSDPRzw,ST. MICHAEL Medical Center,,,,,,,,,,,,,,0
llIuPTntSEw,St. Milla Hospital,,,,,,,,,,,,,,0
u5dWQ8i26gX,St. Nicholas Hospital,,,,,,,,,,,,,,0
qpgHF9b1g2e,St. Raphael Hospital,p.ng.APIN.5332,,,,,,18,18,18,18,2,,0,95
jMBwuIXxYQb,Subol Hospital,p.ng.APIN.5229,,,,,,208,208,208,208,2,,0,1264
s3DOqj9T8aD,Sura Primary Health Centre,p.ng.pepfar.5441,,,,,,,,,,,,,0
VBdvUQ1IMCj,Surulere Able God Hosital,p.ng.pepfar.5473,,,,,,,,,,,,,0
P0Hdzdt87qy,Surulere Mezonel Hospital,p.ng.pepfar.5483,,,,,,,,,,,,,0
IbVBi2EBk8K,Surulere Primary Health Center,,,,,,,0,0,0,0,0,,0,104
DCKSFia8ng7,Surulere The Family Clinic,p.ng.pepfar.5481,,,,,,,,,,,,,0
bRG5g6FEXoq,The Apostolic Church Health Centre,,,,,,,,,,,,,,0
uC71uAUWa8F,The Hossana Hospital,p.ng.APIN.5248,,,,,,9,6,6,6,0,,0,58
rxly8VEgXGd,The Word Bible Church Maternity Home,p.ng.pepfar.5433,,,,,,,,,,,,,0
ApY34SntXNd,Tolu Medical Centre,p.ng.pepfar.5391,,,,,,,,,,,,,0
be2XWFgdUFW,Tolu Primary Health Centre,p.ng.pepfar.5392,,,,,,,,,,,,,0
XSvAc4yTJOv,Topo Primary Health Centre,p.ng.pepfar.5417,,,,,,,,,,,,,0
VEyCi9CUYpj,Tree of Life Hospital,p.ng.pepfar.5487,,,,,,,,,,,,,0
bJl8BHYrNFG,Unita Hospital,p.ng.pepfar.5495,,,,,,,,,,,,,0
LDLrZHe5kW6,Uptown Medical Center,p.ng.APIN.5283,,,,,,38,38,38,38,0,,0,498
WX3GvjZIbi2,Uzondo medical clinic,,,,,,,,,,,,,,0
ih6pNkvFysn,Veta Hospital,p.ng.APIN.5228,,,,,,28,28,28,28,0,,0,80
LaT8akDWnud,Wasimi Primary Health Center,,,,,,,1,1,1,1,0,,0,25
YuRSSyjvsNs,We Care Hospital,p.ng.pepfar.5472,,,,,,,,,,,,,0
rZAmR0iUNje,Wright Primary Health Center,p.ng.APIN.5361,,,,,,,,,,,,,0
q4dIWd9SiwX,Yo-Omolara Maternity Home,,,,,,,,,,,,,,0
Ika575525iU,177 Guards Battalion Medical Reception Station Keffi,p.ng.pepfar.5711,,,,,,,,,,,,,0
qkyUy0iQUIT,Aboki Clinic,p.ng.IHVN.5648,,110,106,4,10,15,13,13,13,0,,3,113
yC86zV8BNHN,Adogi Primary Health Care,p.ng.IHVN.5637,,31,31,,4,167,167,167,167,9,,5,230
IMGvQmgPyOM,Adonai Hospital,p.ng.IHVN.5666,,94,90,4,10,90,90,90,90,3,,0,213
i6QT1Yi33Yh,Agam Primary Health Care Center,,,2,2,,2,59,59,59,59,2,,7,305
jpdw1b62idQ,Agaza Primary Health Care Center,p.ng.IHVN.5603,,,,,,,,,,,,,0
hFhGouLz8Ub,Agu Hospital,,,66,65,1,5,14,14,14,14,0,,0,162
vmFu5pzEpEb,Agudu Primary Health center,,,,,,,5,5,5,5,0,,0,196
O3fbHQYVH5w,Agwada Model Primary Health Care Center,p.ng.IHVN.5623,,,,,,,,,,,,,0
uuaxZeTcd6q,Agyaga Primary Health Care Center,p.ng.Pro Health.5526,,0,0,0,0,32,32,32,32,1,,0,341
vYYI1uFpY7L,Agyema Primary Health Center,,,2,2,,2,62,62,62,62,2,,0,775
JEmDPeH6K88,Ahmadiyya Muslim Hospital,p.ng.IHVN.4591,,,,,,,,,,,,,1391
BL8UNallJH5,Ajaga Primary Health Care Center,p.ng.IHVN.5657,,,,,,,,,,,,,0
YUygKF5FXVj,Akaleku Primary Health Center,,,,,,,21,21,21,21,0,,0,239
JSAYmpfl5jW,Akwanga General Hospital,p.ng.Pro Health.5530,,2124,2058,66,66,282,282,282,282,16,,16,1193
Jj4IO088cM3,Akwanga Primary Health Care Center,p.ng.Pro Health.5522,,0,0,0,0,154,154,154,154,13,,0,226
jjkqoPCkILw,Al-Kawari Hospital,p.ng.IHVN.5597,,70,70,,7,21,11,11,11,0,,0,178
DbI2S56BNj3,Alagye Primary Health Center,p.ng.IHVN.5555,,15,15,,,46,46,46,46,1,,0,894
ETB8LwLJ526,Albama Clinic,,,,,,,,,,,,,,0
HTjveh0VnKk,Alheri Clinic and Maternity,,,25,25,,6,33,33,33,33,1,,0,416
